clade_name,DRR111028,DRR111037,DRR111061,DRR111030,DRR111013,DRR111004,DRR111036,DRR111060,DRR111042,DRR111024,DRR111006,DRR111012
k__Bacteria|p__Campilobacterota|c__Campylobacteria|o__Campylobacterales,0.000097,0.000102,0.000087,0.000097,0.000087,0.000099,0.000097,0.000087,0.000097,0.000087,0.000105,0.000087
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast,0.000068,0.000075,0.000070,0.000068,0.000070,0.000072,0.000068,0.000070,0.000068,0.000070,0.000076,0.000070
k__Bacteria|p__Firmicutes|c__Clostridia|o__Christensenellales,0.018320,0.016121,0.005544,0.018684,0.005557,0.017634,0.018675,0.005476,0.018417,0.005539,0.016446,0.005505
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia,0.000242,0.000251,0.000188,0.000242,0.000188,0.000245,0.000242,0.000188,0.000242,0.000188,0.000257,0.000187
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_UCG-014,0.005013,0.004896,0.003203,0.005053,0.003211,0.004969,0.005052,0.003169,0.005021,0.003202,0.004966,0.003182
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_vadinBB60_group,0.001558,0.001463,0.000597,0.001572,0.000599,0.001534,0.001572,0.000592,0.001561,0.000597,0.001501,0.000594
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales,0.000422,0.000471,0.000516,0.000418,0.000517,0.000448,0.000418,0.000513,0.000419,0.000516,0.000481,0.000514
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales,0.009494,0.009079,0.005224,0.009540,0.005230,0.009349,0.009539,0.005206,0.009513,0.005226,0.009202,0.005213
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales,0.000072,0.000079,0.000075,0.000072,0.000075,0.000075,0.000072,0.000075,0.000072,0.000075,0.000081,0.000075
k__Bacteria|p__Firmicutes|c__Incertae_Sedis|o__DTU014,0.000177,0.000189,0.000162,0.000176,0.000162,0.000183,0.000176,0.000162,0.000176,0.000162,0.000194,0.000162
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales,0.002620,0.002881,0.003284,0.002597,0.003290,0.002760,0.002597,0.003256,0.002603,0.003282,0.002916,0.003266
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales,0.019666,0.020482,0.020866,0.019602,0.020918,0.019944,0.019604,0.020592,0.019633,0.020848,0.020580,0.020700
k__Bacteria|p__Firmicutes|c__Bacilli|o__Erysipelotrichales,0.000167,0.000178,0.000149,0.000166,0.000149,0.000172,0.000166,0.000148,0.000166,0.000149,0.000182,0.000148
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales,0.000227,0.000237,0.000167,0.000227,0.000167,0.000232,0.000227,0.000167,0.000227,0.000167,0.000243,0.000167
