clade_name	DRR127704	DRR127594	DRR127603	DRR162777	DRR127674	DRR127774	DRR127755	DRR127762	DRR127692	DRR127763	DRR127647	DRR127751	DRR127481	DRR127776	DRR127708	DRR127619
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae	0.036922	0.037231	0.042173	0.033167	0.039961	0.037414	0.034602	0.034253	0.033118	0.035120	0.040539	0.032849	0.040475	0.036463	0.041142	0.038134
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia	0.024682	0.028084	0.026162	0.019228	0.025692	0.022425	0.020642	0.025540	0.024105	0.021577	0.032232	0.020450	0.025545	0.022126	0.027035	0.024772
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa	0.036243	0.041262	0.039626	0.029880	0.039114	0.034319	0.031615	0.037615	0.036710	0.032574	0.044841	0.032669	0.037942	0.034968	0.039745	0.036853
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa	0.021803	0.023556	0.026311	0.018825	0.022811	0.022339	0.021416	0.021725	0.020618	0.021468	0.023625	0.021388	0.024085	0.022408	0.024623	0.022024
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales	0.051193	0.057128	0.055752	0.041795	0.053032	0.048210	0.046349	0.052922	0.049575	0.047016	0.060201	0.051199	0.054627	0.050649	0.055136	0.051328
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae	0.073378	0.084315	0.083720	0.066155	0.078157	0.073475	0.065906	0.077630	0.075632	0.070171	0.080794	0.075820	0.077408	0.073996	0.082633	0.073207
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium	0.077240	0.083755	0.079451	0.064582	0.083766	0.073074	0.071323	0.079564	0.077640	0.070443	0.091637	0.068997	0.081076	0.070250	0.080428	0.077594
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acidifaciens	0.071485	0.082551	0.080795	0.059547	0.075470	0.068461	0.064531	0.077220	0.075802	0.063543	0.087029	0.071651	0.076003	0.074555	0.077916	0.070838
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.107839	0.117611	0.131674	0.114274	0.114475	0.122248	0.116095	0.107537	0.105549	0.111202	0.108091	0.114047	0.114243	0.124918	0.122492	0.113829
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	0.077093	0.090587	0.099357	0.081154	0.082232	0.088825	0.090121	0.081701	0.078514	0.079282	0.079591	0.087079	0.084581	0.098178	0.087250	0.085916
