clade_name	DRR127704	DRR127594	DRR127603	DRR162777	DRR127674	DRR127774	DRR127755	DRR127762	DRR127692	DRR127763	DRR127647	DRR127751	DRR127481	DRR127776	DRR127708	DRR127619
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum	9.4e-05	9.4e-05	9.6e-05	9.6e-05	9.4e-05	9.7e-05	9.6e-05	9.4e-05	9.4e-05	9.8e-05	9.4e-05	9.6e-05	9.4e-05	9.6e-05	9.4e-05	9.5e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium	0.000522	0.000498	0.003398	0.003397	0.000676	0.003283	0.003397	0.000497	0.000501	0.003441	0.000499	0.003397	0.00052	0.003397	0.000717	0.0012
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_kashiwanohense	0.000181	0.000179	0.00036	0.00036	0.000198	0.000358	0.00036	0.000179	0.000179	0.000368	0.000179	0.00036	0.000181	0.00036	0.000201	0.000242
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	0.008693	0.008515	0.02131	0.021304	0.009634	0.020979	0.021304	0.00851	0.00854	0.021487	0.008522	0.021304	0.00868	0.021304	0.009928	0.012466
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	0.003638	0.003553	0.011762	0.011759	0.004186	0.011526	0.011759	0.00355	0.003565	0.011881	0.003556	0.011759	0.003633	0.011759	0.004315	0.00595
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudolongum	8.5e-05	8.5e-05	8.6e-05	8.5e-05	8.5e-05	8.7e-05	8.5e-05	8.5e-05	8.5e-05	8.8e-05	8.5e-05	8.5e-05	8.5e-05	8.5e-05	8.5e-05	8.5e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella	8.4e-05	8.4e-05	8.5e-05	8.5e-05	8.4e-05	8.6e-05	8.5e-05	8.4e-05	8.4e-05	8.8e-05	8.4e-05	8.5e-05	8.4e-05	8.5e-05	8.4e-05	8.4e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis	8.4e-05	8.4e-05	8.4e-05	8.4e-05	8.4e-05	8.5e-05	8.4e-05	8.4e-05	8.4e-05	8.7e-05	8.4e-05	8.4e-05	8.4e-05	8.4e-05	8.4e-05	8.4e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Parascardovia	8.9e-05	8.9e-05	9.1e-05	9.1e-05	8.9e-05	9.2e-05	9.1e-05	8.9e-05	8.9e-05	9.3e-05	8.9e-05	9.1e-05	8.9e-05	9.1e-05	8.9e-05	8.9e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Parascardovia|s__Parascardovia_denticolens	8.9e-05	8.9e-05	9e-05	9e-05	8.9e-05	9.1e-05	9e-05	8.9e-05	8.9e-05	9.2e-05	8.9e-05	9e-05	8.9e-05	9e-05	8.9e-05	8.9e-05
