clade_name	DRR111028	DRR111037	DRR111061	DRR111030	DRR111013	DRR111004	DRR111036	DRR111060	DRR111042	DRR111024	DRR111006	DRR111012
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae	0.055188	0.065449	0.054774	0.064920	0.054577	0.057968	0.057895	0.057408	0.059010	0.055449	0.055060	0.053263
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	0.021596	0.029152	0.021656	0.025462	0.022146	0.024228	0.020786	0.024086	0.023886	0.024192	0.021307	0.020747
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Anaerofustaceae	0.014857	0.021349	0.013650	0.020325	0.014635	0.017267	0.015368	0.016620	0.016643	0.014387	0.015383	0.012280
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales-Tissierellales|f__Anaerovoracaceae	0.013498	0.018042	0.012365	0.017108	0.013359	0.015232	0.013724	0.015581	0.014503	0.014865	0.013228	0.011684
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	0.015608	0.021626	0.015060	0.019705	0.016312	0.018114	0.015437	0.017792	0.017972	0.016589	0.016400	0.014447
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	0.014981	0.022780	0.016208	0.017726	0.016922	0.018762	0.014692	0.020190	0.017796	0.019435	0.016780	0.016333
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	0.338171	0.396785	0.381681	0.369666	0.371762	0.371683	0.336861	0.428818	0.383579	0.378803	0.404293	0.399779
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	0.033740	0.040777	0.030720	0.037252	0.033311	0.034319	0.032844	0.032038	0.034289	0.032164	0.030022	0.030237
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.068630	0.068036	0.057092	0.087254	0.061237	0.062279	0.077855	0.064440	0.066307	0.061575	0.060626	0.058780
k__Bacteria|p__Spirochaetota|c__Brachyspirae|o__Brachyspirales|f__Brachyspiraceae	0.038628	0.046798	0.036564	0.042651	0.038246	0.039151	0.039061	0.038435	0.039119	0.037607	0.035028	0.034933
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	0.023887	0.031590	0.021648	0.030294	0.023659	0.026967	0.025243	0.026653	0.025693	0.024120	0.023987	0.020659
k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Butyricicoccaceae	0.024837	0.036595	0.026497	0.030731	0.027346	0.031650	0.024405	0.031633	0.030360	0.029619	0.027337	0.025294
k__Bacteria|p__Campilobacterota|c__Campylobacteria|o__Campylobacterales|f__Campylobacteraceae	0.015245	0.020831	0.014731	0.017447	0.016126	0.017373	0.015265	0.017394	0.016686	0.017077	0.014977	0.014715
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	0.017044	0.020083	0.014981	0.021101	0.015314	0.016954	0.017311	0.016168	0.017675	0.017037	0.015190	0.014394
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Chloroplast	0.012902	0.016967	0.012876	0.015299	0.013358	0.013598	0.013052	0.014314	0.014074	0.013308	0.012579	0.012786
k__Bacteria|p__Firmicutes|c__Clostridia|o__Christensenellales|f__Christensenellaceae	0.085772	0.081139	0.067008	0.088445	0.073407	0.074129	0.091776	0.059635	0.072358	0.067165	0.060685	0.062154
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_UCG-014|f__Clostridia_UCG-014	0.024551	0.030472	0.022415	0.031996	0.024105	0.026846	0.026470	0.029030	0.026305	0.026514	0.025182	0.022786
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_vadinBB60_group|f__Clostridia_vadinBB60_group	0.020485	0.023589	0.016663	0.024634	0.018768	0.020291	0.021686	0.017059	0.020557	0.018303	0.016586	0.015611
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.013359	0.017219	0.012168	0.017263	0.012413	0.013935	0.014179	0.013765	0.014221	0.013623	0.012275	0.011343
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Comamonadaceae	0.012608	0.016701	0.011321	0.015670	0.012142	0.013981	0.012670	0.012563	0.013699	0.013302	0.011434	0.010439
