clade_name	DRR062245_y	DRR062234_y	DRR062244_x	DRR062226_x	DRR062248_x	DRR062282_x	DRR062261_y	DRR062252_y	DRR062262_x	DRR062253_y	DRR062251_y	DRR062224_y	DRR062261_x	DRR062248_y	DRR062240_x	DRR062269_x	DRR062247_y	DRR062249_y	DRR062225_x	DRR062242_x	DRR062229_y	DRR062228_x	DRR062260_y	DRR062263_x	DRR062234_x	DRR062220_x	DRR062236_y
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	0.055201	0.041650	0.463615	0.079593	0.025122	0.358977	0.066079	0.023354	0.034652	0.028607	0.035964	0.023080	0.066079	0.025122	0.034791	0.238507	0.021954	0.021883	0.042369	0.079337	0.112335	0.053817	0.029771	0.029131	0.041650	0.022992	0.156817
k__Bacteria|p__Firmicutes|c__Bacilli|o__Erysipelotrichales|f__Erysipelatoclostridiaceae	0.033033	0.046738	0.025323	0.058154	0.018304	0.074108	0.018748	0.022025	0.062552	0.036417	0.012444	0.018671	0.018748	0.018304	0.022503	0.039710	0.009817	0.022978	0.018615	0.061821	0.033294	0.022915	0.021818	0.019160	0.046738	0.031910	0.023899
k__Bacteria|p__Firmicutes|c__Bacilli|o__Erysipelotrichales|f__Erysipelotrichaceae	0.033058	0.055534	0.051093	0.071184	0.020699	0.090405	0.043812	0.027780	0.094042	0.033846	0.020829	0.027687	0.043812	0.020699	0.046001	0.055119	0.008873	0.029254	0.021017	0.062453	0.069514	0.027823	0.031126	0.033323	0.055534	0.056260	0.036885
k__Bacteria|p__Firmicutes|c__Bacilli|o__Staphylococcales|f__Gemellaceae	0.001815	0.002271	0.000580	0.016824	0.000760	0.003037	0.000911	0.002788	0.003908	0.002924	0.001189	0.000720	0.000911	0.000760	0.000704	0.003243	0.001728	0.003770	0.001656	0.002298	0.001082	0.001553	0.002001	0.000968	0.002271	0.000780	0.001206
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae	0.212821	0.325956	0.147168	0.168822	0.195273	0.212448	0.397350	0.499641	0.452874	0.533086	0.259477	0.551775	0.397350	0.195273	0.432744	0.142475	0.248298	0.506042	0.118588	0.459312	0.143122	0.136879	0.470144	0.248932	0.325956	0.266165	0.104823
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0.010510	0.025729	0.022486	0.021516	0.016823	0.031029	0.031637	0.018784	0.026640	0.032770	0.015500	0.027706	0.031637	0.016823	0.022854	0.028147	0.013694	0.029727	0.018070	0.055792	0.027903	0.019763	0.030959	0.019509	0.025729	0.033237	0.025680
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae	0.004109	0.006083	0.002601	0.005187	0.002140	0.005598	0.014491	0.007197	0.021614	0.013793	0.003290	0.009367	0.014491	0.002140	0.005735	0.006617	0.004060	0.011288	0.001675	0.016901	0.002328	0.002315	0.011053	0.003184	0.006083	0.002327	0.002376
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Neisseriaceae	0.007808	0.009823	0.000787	0.009210	0.004923	0.005364	0.004198	0.008637	0.044816	0.014526	0.005018	0.007003	0.004198	0.004923	0.007036	0.007096	0.004694	0.013224	0.003838	0.006678	0.003606	0.005224	0.010823	0.007086	0.009823	0.005974	0.002897
k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae	0.009638	0.014297	0.004201	0.018893	0.004544	0.011767	0.012301	0.013744	0.022878	0.022368	0.007359	0.010887	0.012301	0.004544	0.009193	0.013960	0.008520	0.020970	0.004676	0.016869	0.006767	0.005843	0.017406	0.006333	0.014297	0.005014	0.005601
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.001934	0.003930	0.000835	0.004934	0.001316	0.003354	0.001013	0.002435	0.006290	0.005036	0.001186	0.001183	0.001013	0.001316	0.001118	0.003947	0.001332	0.003091	0.002227	0.001817	0.001440	0.002318	0.002096	0.001342	0.003930	0.001643	0.002522
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales-Tissierellales|f__Peptostreptococcales-Tissierellales	0.005885	0.007482	0.003528	0.030375	0.003223	0.009641	0.011327	0.010797	0.026920	0.014163	0.005119	0.007457	0.011327	0.003223	0.007245	0.010811	0.007504	0.017489	0.004598	0.010977	0.004424	0.005012	0.014377	0.004990	0.007482	0.003792	0.004504
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0.002702	0.004293	0.001043	0.019107	0.001919	0.005671	0.004729	0.006481	0.010461	0.012595	0.002222	0.004214	0.004729	0.001919	0.002976	0.004110	0.004223	0.012789	0.001973	0.011488	0.002467	0.002336	0.008632	0.002355	0.004293	0.002553	0.001806
k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae	0.067314	0.069277	0.024901	0.033227	0.053278	0.038180	0.251967	0.115297	0.169187	0.224204	0.102096	0.174180	0.251967	0.053278	0.141115	0.037100	0.100642	0.180943	0.024423	0.331031	0.049479	0.029659	0.183634	0.074577	0.069277	0.035376	0.028495
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.162634	0.209650	0.314168	0.095595	0.174616	0.175999	0.219341	0.144639	0.145575	0.118435	0.243365	0.114993	0.219341	0.174616	0.143510	0.433300	0.185026	0.126115	0.243886	0.135840	0.290289	0.274452	0.148510	0.198097	0.209650	0.093940	0.207151
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.006583	0.015211	0.005752	0.006127	0.006008	0.010248	0.019036	0.015713	0.034618	0.027087	0.007218	0.017662	0.019036	0.006008	0.011895	0.012919	0.008963	0.021090	0.005739	0.023892	0.005855	0.007035	0.021585	0.007022	0.015211	0.007706	0.005385
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	0.021471	0.036927	0.010870	0.009530	0.015688	0.018177	0.030463	0.044682	0.050561	0.068554	0.029932	0.019339	0.030463	0.015688	0.019372	0.039605	0.041699	0.060918	0.012862	0.019226	0.014451	0.016574	0.050921	0.020307	0.036927	0.007959	0.017979
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales-Selenomonadales|f__Veillonellaceae	0.012966	0.021693	0.008304	0.022902	0.008968	0.018212	0.010758	0.015913	0.023735	0.021356	0.013485	0.008181	0.010758	0.008968	0.008901	0.025598	0.016127	0.019271	0.013165	0.015122	0.010899	0.013536	0.015574	0.009513	0.021693	0.005429	0.013437
k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__[Eubacterium]_coprostanoligenes_group	0.001744	0.003184	0.000536	0.004884	0.001115	0.003671	0.003204	0.004521	0.007887	0.007847	0.001302	0.004376	0.003204	0.001115	0.002996	0.001963	0.001442	0.007575	0.000750	0.005207	0.001039	0.000965	0.005443	0.001447	0.003184	0.002397	0.000741
