clade_name	DRR062245_y	DRR062234_y	DRR062244_x	DRR062226_x	DRR062248_x	DRR062282_x	DRR062261_y	DRR062252_y	DRR062262_x	DRR062253_y	DRR062251_y	DRR062224_y	DRR062261_x	DRR062248_y	DRR062240_x	DRR062269_x	DRR062247_y	DRR062249_y	DRR062225_x	DRR062242_x	DRR062229_y	DRR062228_x	DRR062260_y	DRR062263_x	DRR062234_x	DRR062220_x	DRR062236_y
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	0.01927	0.017212	0.089456	0.705501	0.014006	0.12923	0.017469	0.018628	0.017542	0.021035	0.015049	0.014347	0.017295	0.013532	0.014242	0.035558	0.024177	0.017449	0.02179	0.020998	0.016478	0.017696	0.016288	0.014553	0.017368	0.013102	0.037271
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	0.020306	0.015486	0.169868	0.146076	0.010085	0.19654	0.015559	0.018081	0.015524	0.022623	0.011742	0.010797	0.015555	0.009597	0.010538	0.065798	0.031005	0.015828	0.026533	0.02366	0.01428	0.016797	0.014218	0.010931	0.015754	0.00901	0.072968
k__Bacteria|p__Firmicutes|c__Bacilli|o__Erysipelotrichales|f__Erysipelatoclostridiaceae	0.022532	0.021881	0.027433	0.007554	0.020289	0.02632	0.021525	0.021872	0.021912	0.022775	0.020965	0.020709	0.021843	0.020164	0.020581	0.026688	0.02354	0.022008	0.022735	0.022995	0.021689	0.022059	0.021854	0.020603	0.021853	0.020151	0.027767
k__Bacteria|p__Firmicutes|c__Bacilli|o__Erysipelotrichales|f__Erysipelotrichaceae	0.033654	0.032349	0.01318	0.000311	0.029401	0.00919	0.032409	0.033203	0.033557	0.034194	0.030618	0.030356	0.032659	0.028501	0.030112	0.030321	0.036098	0.032764	0.034022	0.034516	0.031697	0.032124	0.032306	0.029822	0.032407	0.027689	0.029049
k__Bacteria|p__Firmicutes|c__Bacilli|o__Staphylococcales|f__Gemellaceae	0.000637	0.000392	0.009415	0.011649	0.000187	0.012285	0.000394	0.00052	0.000392	0.000743	0.000242	0.00021	0.0004	0.000171	0.000202	0.00283	0.00117	0.000414	0.000969	0.000766	0.000337	0.000459	0.000344	0.000212	0.000411	0.000152	0.003022
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae	0.22581	0.238475	0.104144	0.015095	0.25443	0.086159	0.24034	0.234414	0.245178	0.225574	0.25137	0.253617	0.240045	0.255654	0.254642	0.180418	0.211444	0.242676	0.209671	0.21987	0.241384	0.232474	0.241491	0.252336	0.240201	0.256051	0.175532
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0.019638	0.020488	0.01121	0.004922	0.021604	0.010278	0.021244	0.0204	0.021939	0.020199	0.021294	0.021469	0.020847	0.021258	0.021707	0.017614	0.019856	0.021287	0.018767	0.019565	0.020769	0.019848	0.020645	0.021215	0.020663	0.021009	0.016541
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae	0.005255	0.004866	0.003642	0.000806	0.004188	0.002944	0.00488	0.005028	0.00499	0.005364	0.004422	0.004318	0.004894	0.004053	0.004258	0.005533	0.005594	0.004982	0.005319	0.005326	0.004708	0.004951	0.00479	0.004268	0.004897	0.003932	0.005412
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Neisseriaceae	0.003402	0.003279	0.001424	4.9e-05	0.003007	0.000948	0.003303	0.00338	0.003382	0.003446	0.003131	0.003108	0.003287	0.002971	0.003098	0.003351	0.003693	0.003351	0.00343	0.003461	0.003216	0.003218	0.003235	0.003069	0.003311	0.0029	0.003059
k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae	0.004689	0.003956	0.006751	0.004196	0.003016	0.006432	0.003942	0.00435	0.003984	0.004927	0.003329	0.003153	0.003986	0.002916	0.003094	0.006943	0.005695	0.004034	0.00535	0.004941	0.003743	0.004163	0.003803	0.003147	0.004044	0.002772	0.006794
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.001871	0.001776	0.001043	5.8e-05	0.001591	0.000766	0.001792	0.001838	0.001867	0.001904	0.001677	0.001635	0.001807	0.001558	0.001627	0.001744	0.001892	0.001854	0.001817	0.001843	0.001737	0.001783	0.001767	0.001604	0.001813	0.001502	0.001633
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales-Tissierellales|f__Peptostreptococcales-Tissierellales	0.009095	0.007075	0.02744	0.027574	0.004567	0.02944	0.00704	0.008223	0.007052	0.009885	0.005327	0.004917	0.007108	0.004352	0.004793	0.018681	0.012737	0.007246	0.011341	0.010104	0.006445	0.007665	0.006552	0.004912	0.007217	0.004067	0.019061
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0.003207	0.003004	0.005714	0.010415	0.002619	0.006042	0.003057	0.003158	0.003135	0.003348	0.002784	0.002714	0.003041	0.002577	0.002691	0.004448	0.003759	0.00311	0.003376	0.003403	0.00294	0.003033	0.002915	0.0027	0.003051	0.002485	0.004344
k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae	0.098049	0.095204	0.022506	0.0008	0.089482	0.014703	0.094773	0.096179	0.09368	0.097369	0.090552	0.089619	0.09499	0.087258	0.088093	0.070423	0.096125	0.092841	0.100404	0.098829	0.093533	0.097224	0.094671	0.090343	0.09431	0.085943	0.069039
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.101836	0.092992	0.126501	0.029017	0.078886	0.110896	0.092564	0.097947	0.092774	0.105648	0.083336	0.080443	0.093908	0.076704	0.079743	0.124788	0.111678	0.092012	0.111266	0.106938	0.090583	0.096937	0.089813	0.081387	0.092944	0.074995	0.131436
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.006076	0.005487	0.00364	0.000197	0.004605	0.002637	0.005484	0.005728	0.0056	0.006179	0.004886	0.004762	0.005539	0.004431	0.004671	0.006624	0.006824	0.005503	0.006445	0.006359	0.005361	0.005704	0.005395	0.004735	0.005492	0.004265	0.00654
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	0.018741	0.015859	0.02196	0.002136	0.012086	0.017573	0.015819	0.017366	0.015563	0.019566	0.013279	0.012599	0.015975	0.011739	0.012358	0.027529	0.023112	0.015872	0.021875	0.01995	0.01506	0.016908	0.015192	0.012612	0.016011	0.011233	0.027536
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales-Selenomonadales|f__Veillonellaceae	0.013524	0.011552	0.021496	0.014634	0.00918	0.020793	0.011434	0.012512	0.01154	0.013906	0.009946	0.009591	0.0115	0.008908	0.009404	0.019919	0.016053	0.01172	0.014912	0.01429	0.010999	0.011948	0.011126	0.009614	0.011665	0.008612	0.020059
